study_id,outcome,theme,events_x,sample_size_n,country,facility_level,setting,surgical_specialty,denominator_type,ascertainment_window_days,year_start,year_end,pathogen,antibiotic,who_class,ast_method,breakpoint_standard,breakpoint_version,specimen_type,mdr_definition_text,n_mdr,n_xdr,esbl_test,n_esbl_positive,carbapenemase_test,n_carbapenemase_positive,carbapenemase_genes,mrsa_detection_method,resistance_gene_markers,mic_unit,mic_breakpoint_s,mic_breakpoint_r,zone_diameter_unit,ssi_type,readmission_window_days,reoperation_definition_text
Abosse2021-Ethiopia-FelegeHiwot-2019-01,amr_prevalence,amr_prevalence,2,17,Ethiopia,tertiary,hospital,,isolates,,2019,2019,Klebsiella spp.,gentamicin,critically_important,disk_diffusion,CLSI,CLSI 2018,wound_swab,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,,,,,,,,,,,,,mm,,,
Ali2023-Ethiopia-DessieHospital-2016-01,amr_prevalence,amr_prevalence,14,14,Ethiopia,tertiary,hospital,,isolates,,2016,2016,Staphylococcus aureus,penicillin,important,disk_diffusion,CLSI,CLSI M100-S24,wound_swab,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,9.0,,,,,,,Cefoxitin (30 μg) disk diffusion; zone diameter ≤21 mm considered resistant,,,,,mm,,,
Ali2023-Ethiopia-DessieHospital-2016-01,amr_prevalence,amr_prevalence,6,14,Ethiopia,tertiary,hospital,,isolates,,2016,2016,Staphylococcus aureus,cefoxitin,important,disk_diffusion,CLSI,CLSI M100-S24,wound_swab,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,9.0,,,,,,,Cefoxitin (30 μg) disk diffusion; zone diameter ≤21 mm considered resistant,,,,,mm,,,
Ali2023-Ethiopia-DessieHospital-2016-01,amr_prevalence,amr_prevalence,8,9,Ethiopia,tertiary,hospital,,isolates,,2016,2016,Escherichia coli,ampicillin,important,disk_diffusion,CLSI,CLSI M100-S24,wound_swab,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,8.0,,Double disc approximation method,6.0,,,,,,,,,mm,,,
Ali2023-Ethiopia-DessieHospital-2016-01,amr_prevalence,amr_prevalence,7,7,Ethiopia,tertiary,hospital,,isolates,,2016,2016,Klebsiella pneumoniae,ampicillin,important,disk_diffusion,CLSI,CLSI M100-S24,wound_swab,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,7.0,,Double disc approximation method,2.0,,,,,,,,,mm,,,
Ali2023-Ethiopia-DessieHospital-2016-01,amr_prevalence,amr_prevalence,21,23,Ethiopia,tertiary,hospital,,isolates,,2016,2016,Enterobacteriaceae,ampicillin,important,disk_diffusion,CLSI,CLSI M100-S24,wound_swab,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,,,,,,,,,,,,,mm,,,
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,amr_prevalence,2,22,Kenya,tertiary,hospital,,isolates,,2018,2019,Staphylococcus aureus,vancomycin,important,disk_diffusion,CLSI,CLSI 2016,wound_swab,,,,,,,,,Oxacillin disk diffusion,,,,,mm,,,
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,amr_prevalence,3,22,Kenya,tertiary,hospital,,isolates,,2018,2019,Staphylococcus aureus,ciprofloxacin,critically_important,disk_diffusion,CLSI,CLSI 2016,wound_swab,,,,,,,,,Oxacillin disk diffusion,,,,,mm,,,
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,amr_prevalence,1,22,Kenya,tertiary,hospital,,isolates,,2018,2019,Staphylococcus aureus,chloramphenicol,highly_important,disk_diffusion,CLSI,CLSI 2016,wound_swab,,,,,,,,,Oxacillin disk diffusion,,,,,mm,,,
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,amr_prevalence,21,22,Kenya,tertiary,hospital,,isolates,,2018,2019,Staphylococcus aureus,ampicillin,highly_important,disk_diffusion,CLSI,CLSI 2016,wound_swab,,,,,,,,,Oxacillin disk diffusion,,,,,mm,,,
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,amr_prevalence,13,22,Kenya,tertiary,hospital,,isolates,,2018,2019,Staphylococcus aureus,oxacillin,highly_important,disk_diffusion,CLSI,CLSI 2016,wound_swab,,,,,,,,,Oxacillin disk diffusion,,,,,mm,,,
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,amr_prevalence,7,12,Kenya,tertiary,hospital,,isolates,,2018,2019,Escherichia coli,chloramphenicol,highly_important,disk_diffusion,CLSI,CLSI 2016,wound_swab,Multi-drug resistance (resistance to ≥ 4 antibiotics) observed with E. coli.,,,,,,,,,,,,,mm,,,
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,amr_prevalence,11,12,Kenya,tertiary,hospital,,isolates,,2018,2019,Escherichia coli,ampicillin,highly_important,disk_diffusion,CLSI,CLSI 2016,wound_swab,Multi-drug resistance (resistance to ≥ 4 antibiotics) observed with E. coli.,,,,,,,,,,,,,mm,,,
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,amr_prevalence,6,11,Kenya,tertiary,hospital,,isolates,,2018,2019,Acinetobacter baumannii,amikacin,critically_important,disk_diffusion,CLSI,CLSI 2016,wound_swab,,,,,,,,,,,,,,mm,,,
Billoro2019-Ethiopia-WUNEMMH-2017-01,amr_prevalence,amr_prevalence,1,9,Ethiopia,tertiary,hospital,,isolates,,2017,2017,Klebsiella pneumoniae,ceftriaxone,critically_important,disk_diffusion,CLSI,,wound_swab,,,,,,,,,,,,,,mm,,,
Billoro2019-Ethiopia-WUNEMMH-2017-01,amr_prevalence,amr_prevalence,1,9,Ethiopia,tertiary,hospital,,isolates,,2017,2017,Klebsiella pneumoniae,ciprofloxacin,critically_important,disk_diffusion,CLSI,,wound_swab,,,,,,,,,,,,,,mm,,,
Billoro2019-Ethiopia-WUNEMMH-2017-01,amr_prevalence,amr_prevalence,3,9,Ethiopia,tertiary,hospital,,isolates,,2017,2017,Klebsiella pneumoniae,gentamicin,critically_important,disk_diffusion,CLSI,,wound_swab,,,,,,,,,,,,,,mm,,,
Billoro2019-Ethiopia-WUNEMMH-2017-01,amr_prevalence,amr_prevalence,2,6,Ethiopia,tertiary,hospital,,isolates,,2017,2017,Klebsiella pneumoniae,chloramphenicol,highly_important,disk_diffusion,CLSI,,wound_swab,,,,,,,,,,,,,,mm,,,
Billoro2019-Ethiopia-WUNEMMH-2017-01,amr_prevalence,amr_prevalence,0,3,Ethiopia,tertiary,hospital,,isolates,,2017,2017,Staphylococcus aureus,ceftriaxone,critically_important,disk_diffusion,CLSI,,wound_swab,,,,,,,,,,,,,,mm,,,
Billoro2019-Ethiopia-WUNEMMH-2017-01,amr_prevalence,amr_prevalence,1,4,Ethiopia,tertiary,hospital,,isolates,,2017,2017,Staphylococcus aureus,ciprofloxacin,critically_important,disk_diffusion,CLSI,,wound_swab,,,,,,,,,,,,,,mm,,,
Boru2025-Ethiopia-BuleHora-2023-01,amr_prevalence,amr_prevalence,1,14,Ethiopia,tertiary,hospital,,isolates,,2023,2023,Staphylococcus aureus,chloramphenicol,highly_important,disk_diffusion,CLSI,,wound_swab,Resistance to ≥3 classes of antimicrobials,8.0,,,,,,,Cefoxitin disk diffusion,,,,,mm,,,
Boru2025-Ethiopia-BuleHora-2023-01,amr_prevalence,amr_prevalence,8,14,Ethiopia,tertiary,hospital,,isolates,,2023,2023,Staphylococcus aureus,cefoxitin,critically_important,disk_diffusion,CLSI,,wound_swab,Resistance to ≥3 classes of antimicrobials,8.0,,,,,,,Cefoxitin disk diffusion,,,,,mm,,,
Boru2025-Ethiopia-BuleHora-2023-01,amr_prevalence,amr_prevalence,8,14,Ethiopia,tertiary,hospital,,isolates,,2023,2023,Staphylococcus aureus,penicillin,critically_important,disk_diffusion,CLSI,,wound_swab,Resistance to ≥3 classes of antimicrobials,8.0,,,,,,,Cefoxitin disk diffusion,,,,,mm,,,
Boru2025-Ethiopia-BuleHora-2023-01,amr_prevalence,amr_prevalence,5,6,Ethiopia,tertiary,hospital,,isolates,,2023,2023,Escherichia coli,ampicillin,critically_important,disk_diffusion,CLSI,,wound_swab,Resistance to ≥3 classes of antimicrobials,3.0,,,,,,,,,,,,mm,,,
Boru2025-Ethiopia-BuleHora-2023-01,amr_prevalence,amr_prevalence,5,6,Ethiopia,tertiary,hospital,,isolates,,2023,2023,Escherichia coli,ceftazidime,critically_important,disk_diffusion,CLSI,,wound_swab,Resistance to ≥3 classes of antimicrobials,3.0,,,,,,,,,,,,mm,,,
Boru2025-Ethiopia-BuleHora-2023-01,amr_prevalence,amr_prevalence,0,6,Ethiopia,tertiary,hospital,,isolates,,2023,2023,Pseudomonas aeruginosa,ciprofloxacin,critically_important,disk_diffusion,CLSI,,wound_swab,Resistance to ≥3 classes of antimicrobials,3.0,,,,,,,,,,,,mm,,,
Burugu2022-Kenya-KenyattaNH-2022-01,amr_prevalence,amr_prevalence,11,12,Kenya,tertiary,hospital,,isolates,,,,Escherichia coli,ceftriaxone,critically_important,disk_diffusion,study_defined,,wound_swab,,,,,,,,,,,,,,mm,,,
Burugu2022-Kenya-KenyattaNH-2022-01,amr_prevalence,amr_prevalence,3,4,Kenya,tertiary,hospital,,isolates,,,,Proteus spp.,ceftriaxone,critically_important,disk_diffusion,study_defined,,wound_swab,,,,,,,,,,,,,,mm,,,
Burugu2022-Kenya-KenyattaNH-2022-01,amr_prevalence,amr_prevalence,9,16,Kenya,tertiary,hospital,,isolates,,,,Staphylococcus aureus,oxacillin,critically_important,disk_diffusion,study_defined,,wound_swab,,,,,,,,,oxacillin disc,,,,,mm,,,
Burugu2022-Kenya-KenyattaNH-2022-01,amr_prevalence,amr_prevalence,3,4,Kenya,tertiary,hospital,,isolates,,,,Enterococcus faecalis,vancomycin,critically_important,disk_diffusion,study_defined,,wound_swab,,,,,,,,,,,,,,mm,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,6,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,ampicillin,important,disk_diffusion,CLSI,2009,pus_swab,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,4,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,doxycycline,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,azithromycin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,amoxicillin-clavulanate,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,cefuroxime,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,5,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,ciprofloxacin,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,chloramphenicol,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,oxacillin,highly_important,,,,,,,,,,,,,oxacillin_disk_diffusion,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,0,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,netilmicin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,0,10,Kenya,tertiary,hospital,,isolates,,2008,2009,Staphylococcus aureus,vancomycin,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,4,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,ampicillin,important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,doxycycline,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,azithromycin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,amoxicillin-clavulanate,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,cefuroxime,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,ciprofloxacin,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,chloramphenicol,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,0,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,oxacillin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,0,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,netilmicin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,0,5,Kenya,tertiary,hospital,,isolates,,2008,2009,Coagulase-negative staphylococci,vancomycin,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,0,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Kluyvera spp.,co-trimoxazole,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Kluyvera spp.,doxycycline,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Kluyvera spp.,amoxicillin-clavulanate,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Kluyvera spp.,cefotaxime,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Kluyvera spp.,chloramphenicol,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Kluyvera spp.,cefuroxime,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Kluyvera spp.,ciprofloxacin,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Kluyvera spp.,gentamicin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Escherichia coli,co-trimoxazole,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Escherichia coli,doxycycline,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Escherichia coli,amoxicillin-clavulanate,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Escherichia coli,cefotaxime,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Escherichia coli,chloramphenicol,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Escherichia coli,cefuroxime,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Escherichia coli,ciprofloxacin,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Escherichia coli,gentamicin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,3,Kenya,tertiary,hospital,,isolates,,2008,2009,Klebsiella spp.,co-trimoxazole,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,3,Kenya,tertiary,hospital,,isolates,,2008,2009,Klebsiella spp.,doxycycline,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,3,Kenya,tertiary,hospital,,isolates,,2008,2009,Klebsiella spp.,amoxicillin-clavulanate,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,3,Kenya,tertiary,hospital,,isolates,,2008,2009,Klebsiella spp.,cefotaxime,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,3,Kenya,tertiary,hospital,,isolates,,2008,2009,Klebsiella spp.,chloramphenicol,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,0,3,Kenya,tertiary,hospital,,isolates,,2008,2009,Klebsiella spp.,cefuroxime,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,0,3,Kenya,tertiary,hospital,,isolates,,2008,2009,Klebsiella spp.,ciprofloxacin,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,3,Kenya,tertiary,hospital,,isolates,,2008,2009,Klebsiella spp.,gentamicin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Pseudomonas aeruginosa,ciprofloxacin,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Pseudomonas aeruginosa,gentamicin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,3,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Pseudomonas aeruginosa,piperacillin-tazobactam,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Pseudomonas aeruginosa,cefepime,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Pseudomonas aeruginosa,ceftazidime,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Pseudomonas aeruginosa,imipenem,critically_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,2,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Pseudomonas aeruginosa,piperacillin,highly_important,,,,,,,,,,,,,,,,,,,,,
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,amr_prevalence,1,4,Kenya,tertiary,hospital,,isolates,,2008,2009,Pseudomonas aeruginosa,ceftriaxone,critically_important,,,,,,,,,,,,,,,,,,,,,
Garoy2021-Eritrea-AsmaraHospitals-2017-01,amr_prevalence,amr_prevalence,20,20,Eritrea,tertiary,hospital,,isolates,,2017,2017,Staphylococcus aureus,penicillin,important,disk_diffusion,CLSI,CLSI 2017 (M100-S25),wound_swab,MDR: nonsusceptibility to at least one agent in ≥3 antimicrobial drug classes.,17.0,,,,,,,disk diffusion (oxacillin disk),,,,,mm,,,
