study_id,theme,subtheme,summary,quote,quote_page,quote_section,location_context,confidence
Abosse2021-Ethiopia-FelegeHiwot-2019-01,burden_incidence,other,Culture confirmed surgical wound infection prevalence was 69.7% among patients at the hospital.,The overall prevalence of culture confirmed SWI was 115 (69.7%),4,Results,"Felege Hiwot Referral Hospital, Bahir Dar, Ethiopia",high
Ali2023-Ethiopia-DessieHospital-2016-01,burden_incidence,epidemiology of SSI,"The study found an average rate of surgical site infection (SSI) among patients undergoing surgery, with higher rates in general surgery compared to obstetrics/gynecology.","Clinically, 49 patients (14.5%) were diagnosed as developing surgical site infection, and wound swabs were taken for bacteriological study.",1,Abstract,"Dessie Comprehensive Specialized Hospital, Ethiopia",high
Ali2023-Ethiopia-DessieHospital-2016-01,burden_incidence,epidemiology of SSI,"The study found an average rate of surgical site infection (SSI) among patients undergoing surgery, with higher rates in general surgery compared to obstetrics/gynecology.","The rate of SSI was 16.8% and 9.2% in the general surgical ward and the obstetrics and gynecology ward, respectively.",4,The rate and distribution of SSI,"Dessie Comprehensive Specialized Hospital, Ethiopia",high
Ali2023-Ethiopia-DessieHospital-2016-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"A high proportion of bacterial isolates from SSI cases were multidrug resistant, especially among Gram-negative organisms, with notable resistance to commonly used antibiotics.","Out of the total bacterial isolates, 38 (79.2%) isolates were found to be multidrug resistant, and the rate of multidrug resistant was higher among Gram-negative isolates.",1,Abstract,"Dessie Comprehensive Specialized Hospital, Ethiopia",high
Ali2023-Ethiopia-DessieHospital-2016-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"A high proportion of bacterial isolates from SSI cases were multidrug resistant, especially among Gram-negative organisms, with notable resistance to commonly used antibiotics.","The highest resistance which is exhibited by Enterobacteriaceae isolates was for ampicillin (91.3%), followed by augmentin (87%), cotrimoxazole (82.6%), and ceftriaxone (78.3).",9,Discussion,"Dessie Comprehensive Specialized Hospital, Ethiopia",high
Ali2023-Ethiopia-DessieHospital-2016-01,drivers_amr,"determinants (inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors)","The high rate of multidrug resistance is attributed to antimicrobial drug overuse, overdosing, improper susceptibility testing, unethical drug promotion, self-medication, and prolonged hospitalization.","This coincides with the fact that the problem of MDR continues to grow, especially in developing countries, as a result of antimicrobial drug overuse, overdosing, drug prescription with an improper susceptibility test, unethical drug promotion, self-medication, and a long duration of hospitalization.",10,Discussion,"Dessie Comprehensive Specialized Hospital, Ethiopia",moderate
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,other,High rates of resistance to ampicillin and amoxycillin (>90%) were observed among both gram-positive and gram-negative bacteria isolates from SSI wounds.,Ampicillin and amoxycillin recorded resistance rates >90% against gram-positive and gram-negative bacteria.,2,Abstract,"Mama Lucy Kibaki Hospital, Nairobi, Kenya",high
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,amr_prevalence,other,Methicillin-resistant Staphylococcus aureus (MRSA) accounted for 65.4% of Staphylococcus species isolated from SSI wounds.,Methicillin-resistant S. aureus accounted for 65.4% (n=17) of the total Staphylococcus species.,2,Abstract,"Mama Lucy Kibaki Hospital, Nairobi, Kenya",high
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,burden_incidence,other,"A total of 58 cases of surgical site infection were observed over a 6-month period, with most isolates recovered from abdominal wounds.",A total of 58 cases of surgical site infection were observed at the facility between October 2018 and March 2019.,4,Socio-demographic data of patients,"Mama Lucy Kibaki Hospital, Nairobi, Kenya",high
Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,burden_incidence,other,"A total of 58 cases of surgical site infection were observed over a 6-month period, with most isolates recovered from abdominal wounds.","Most of the bacteria were recovered from the abdomen 60.3% and the lower limbs 29.5%, with the arms and other body sites accounting for 3.8 and 6.4% of the total bacteria (Table 1).",4,Proportion of bacteria isolated from surgical wounds,"Mama Lucy Kibaki Hospital, Nairobi, Kenya",high
Billoro2019-Ethiopia-WUNEMMH-2017-01,burden_incidence,incidence,"SSI rate was 16.5% among surgical patients at WUNEMMH, higher than developed countries but similar to other African settings.","Out of 255 patients, 42(16.5%) patients developed SSIs.",3,Rate of SSI,"Ethiopia, WUNEMMH",high
Billoro2019-Ethiopia-WUNEMMH-2017-01,amr_prevalence,resistance patterns,"Klebsiella pneumoniae was the most common SSI pathogen, with high sensitivity to ceftriaxone and ciprofloxacin; resistance to ampicillin, tetracycline, and erythromycin was noted.","Klebsiella pneumonia was found to be the most common for 60.0% of isolates followed by Staphylococcus aureus (17.8%), Escherichia colli (11.1%) and Pseudomonas aeruginosa (11.1%).",4,Etiological organisms for SSIs,"Ethiopia, WUNEMMH",high
Billoro2019-Ethiopia-WUNEMMH-2017-01,amr_prevalence,resistance patterns,"Klebsiella pneumoniae was the most common SSI pathogen, with high sensitivity to ceftriaxone and ciprofloxacin; resistance to ampicillin, tetracycline, and erythromycin was noted.","Klebsiella species were 88.9% susceptible to ciprofloxacin, ceftriaxone, and Pseudomonas aeruginosa was 100% susceptible to both drugs.",4,Sensitivity of causative organisms,"Ethiopia, WUNEMMH",high
Billoro2019-Ethiopia-WUNEMMH-2017-01,drivers_amr,inappropriate use,Unnecessarily prolonged administration of antibiotics contributes to antimicrobial resistance; AMP for long periods should be avoided.,"Antimicrobial resistance is one of world problem, which results partly due to unnecessarily administration of antibiotic for long period so administration of surgical AMP for long time should be avoided.",6,Conclusion,"Ethiopia, WUNEMMH",moderate
Billoro2019-Ethiopia-WUNEMMH-2017-01,prevention_control,surveillance practices,Periodic surveillance and feedback to surgeons on SSI rates and associated factors are recommended to reduce SSI rates.,A surveillance system for SSI with feedback of proper data to surgeons and hospital authorities is highly recommended to reduce SSI rate in WUNEMMH.,7,Conclusion,"Ethiopia, WUNEMMH",moderate
Boru2025-Ethiopia-BuleHora-2023-01,burden_incidence,"epidemiology of SSI (incidence, trends)",The study found a high prevalence of SSIs (15.8%) among surgical patients at a tertiary hospital in Southern Ethiopia.,"In this study, the general prevalence of culture-confirmed SSIs was 15.8% (29/183) (95% CI, 10.9-22).",3,Prevalence of surgical site infections,"Bule Hora University Teaching Hospital, Ethiopia",high
Boru2025-Ethiopia-BuleHora-2023-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"A high proportion of isolates (43.9%) were multidrug-resistant, with S. aureus showing notable resistance to cefoxitin and penicillin.","Among the 41 isolates, 18 (43.9%) (95% CI, 43-45) were multidrug-resistant.",4,Multi-drug resistance pattern of bacteria,"Bule Hora University Teaching Hospital, Ethiopia",high
Boru2025-Ethiopia-BuleHora-2023-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"A high proportion of isolates (43.9%) were multidrug-resistant, with S. aureus showing notable resistance to cefoxitin and penicillin.",S. aureus: 57.1% resistant to cefoxitin (MRSA proxy); highest sensitivity to chloramphenicol.,4,Antimicrobial susceptibility patterns for Gram-positive isolates,"Bule Hora University Teaching Hospital, Ethiopia",high
Boru2025-Ethiopia-BuleHora-2023-01,drivers_amr,"determinants (inappropriate use, IPC gaps, diagnostics delays, policy failures, supply chain, workforce, patient factors)","Self-medication and frequent, inappropriate use of antimicrobials may contribute to high resistance rates observed.",This high resistance may be due to self-medication practices and the frequent and inappropriate use of antimicrobial agents.,5,Discussion,"Bule Hora University Teaching Hospital, Ethiopia",moderate
Boru2025-Ethiopia-BuleHora-2023-01,outcomes_clinical,complications_other,"SSIs lead to increased mortality, morbidity, reoperation, prolonged hospital stays, and increased healthcare costs, especially with resistant organisms.","SSIs lead to increased mortality, morbidity, reoperation, prolonged hospital stays, loss of daily wages, and increased healthcare costs, all of which are considerably higher in cases involving antimicrobial-resistant organisms.",2,Background,"Bule Hora University Teaching Hospital, Ethiopia",moderate
Boru2025-Ethiopia-BuleHora-2023-01,prevention_control,"IPC programs, bundles, surveillance practices",The study recommends reviewing infection prevention practices and establishing a functional microbiology laboratory to control SSIs.,"This study recommends reviewing current infection prevention practices, establishing a functional microbiology laboratory, and limiting the use of certain antibiotics.",7,Conclusion and recommendation,"Bule Hora University Teaching Hospital, Ethiopia",moderate
Boru2025-Ethiopia-BuleHora-2023-01,evidence_gaps,explicit gaps and research priorities,"Future studies should include fungi and anaerobic bacteria, and a nationwide survey of SSIs and antimicrobial resistance is recommended.","Future studies should include fungi and anaerobic bacteria, and a nationwide survey of SSIs and antimicrobial resistance is recommended.",7,Conclusion and recommendation,Ethiopia,moderate
Burugu2022-Kenya-KenyattaNH-2022-01,burden_incidence,epidemiology of SSI,"SSI incidence among surgical patients at KNH was high, with 72.6% of samples showing bacterial growth.","Out of the 62 pus samples that were collected, bacterial isolates were recovered from seven in ten samples (n=45, 72.6%)",3,Results,"Kenya, Kenyatta National Hospital",high
Burugu2022-Kenya-KenyattaNH-2022-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High rates of resistance were observed among Gram-negative and Gram-positive isolates, including 91.7% ceftriaxone resistance in E. coli and 56.3% MRSA among S. aureus.",E. coli showed high resistance to ceftriaxone (91.7%).,3,Antimicrobial susceptibility patterns,"Kenya, Kenyatta National Hospital",high
Burugu2022-Kenya-KenyattaNH-2022-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High rates of resistance were observed among Gram-negative and Gram-positive isolates, including 91.7% ceftriaxone resistance in E. coli and 56.3% MRSA among S. aureus.",In cases of Staphylococcusaureus 56.3% of the isolates were found resistant to Methicillin (Oxacillin),4,Antibiotics susceptibility pattern of Gram-positive Isolates,"Kenya, Kenyatta National Hospital",high
Burugu2022-Kenya-KenyattaNH-2022-01,drivers_amr,inappropriate use,"Overuse and misuse of antibiotics, including prophylactic use, may contribute to high resistance rates observed.",Resistance to Ceftriaxone and Ampicillin could be explained by they having been used as prophylaxis preoperatively hence increasing their use in patients. Over-use of antibiotics has been shown to contributes to organisms developing resistance.,4,Discussion,"Kenya, Kenyatta National Hospital",moderate
Burugu2022-Kenya-KenyattaNH-2022-01,prevention_control,"IPC programs, bundles, surveillance practices",The study recommends infection control measures and surveillance to minimize the incidence of SSIs and spread of resistant isolates.,Control and prevention measures should be put into place as strategy to minimize the incidence of SSIs and the spread of resistance isolates.,2,Abstract,"Kenya, Kenyatta National Hospital",moderate
Burugu2022-Kenya-KenyattaNH-2022-01,prevention_control,"IPC programs, bundles, surveillance practices",The study recommends infection control measures and surveillance to minimize the incidence of SSIs and spread of resistant isolates.,There is need for continuous surveillance genotypic characterization of clinical isolates and their antimicrobial susceptibility patterns.,5,Future Scope,"Kenya, Kenyatta National Hospital",moderate
Burugu2022-Kenya-KenyattaNH-2022-01,evidence_gaps,explicit gaps and research priorities,The study highlights the need for national surveillance of antibiotic resistant organisms and further research including anaerobic cultures.,There is need to develop National surveillance of antibiotic resistant organisms.,5,Future Scope,"Kenya, Kenyatta National Hospital",moderate
Burugu2022-Kenya-KenyattaNH-2022-01,evidence_gaps,explicit gaps and research priorities,The study highlights the need for national surveillance of antibiotic resistant organisms and further research including anaerobic cultures.,Future studies should be extended to include cultures under anaerobic conditions to establish presence of other bacteria that require such environment for growth.,5,Future Scope,"Kenya, Kenyatta National Hospital",moderate
Dinda2013-Kenya-AKUHNairobi-20082009-1,burden_incidence,incidence_rates,"The SSI incidence rate for clean/clean-contaminated wounds was 7.0%, which authors noted as lower than rates in other Kenyan studies.",The SSI incidence rates (7.0%) observed in this study were relatively lower than the ones documented in other studies in Kenya.,1,ABSTRACT,"Aga Khan University Hospital, Nairobi, Kenya",high
Dinda2013-Kenya-AKUHNairobi-20082009-1,amr_prevalence,pathogen_distribution,"Staphylococcus aureus was the most frequently isolated pathogen from surgical site infections, accounting for 30.8% of isolates.","This study found out that the pathogens involved in SSI at the AKUHN included S. aureus (30.8%), Coagulase negative Staphylococcus (15.4%), Pseudomonas aeruginosa (10.4%), Kluyvera spp. (12.8%), E. coli (12.8%), Klebsiella species (12.8%), Serratia marcescens (2.6 %) and Enterobacter cloacae (2.6%).",5,DISCUSSION,"Aga Khan University Hospital, Nairobi, Kenya",high
Dinda2013-Kenya-AKUHNairobi-20082009-1,drivers_amr,patient_factors,Significant risk factors for developing an SSI were having a dirty wound (wound class IV) and a prolonged preoperative hospital stay of two or more days.,This study found out that wound class IV and preoperative stay ≥2 days were the risk factors associated with SSI at the hospital.,7,DISCUSSION,"Aga Khan University Hospital, Nairobi, Kenya",high
Dinda2013-Kenya-AKUHNairobi-20082009-1,microbiology_diagnostics,capacity_limitations,"The study's diagnostic approach was limited by the use of pus swabs, which are considered suboptimal specimens, and the absence of an anaerobic culture system.","Pus swabs are not ideal specimens for study of SSI according to CDC definitions; however, it was clinically not practical to obtain ideal specimens... The lack of anaerobic culture system was additional limitation.",7,DISCUSSION,"Aga Khan University Hospital, Nairobi, Kenya",high
Garoy2021-Eritrea-AsmaraHospitals-2017-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High rates of multidrug resistance were observed among both Gram-positive and Gram-negative isolates from surgical site infections, including 70% MRSA and 100% resistance to ampicillin in E. coli.","All the Staphylococcus aureus isolates were resistant to penicillin. MRSA phenotype was observed in 70% of the isolates. Vancomycin, clindamycin, and erythromycin resistance were observed in 60%, 25%, and 25% of the isolates, respectively.",1,Background,"Asmara, Eritrea; Halibet and Orotta National Referral Hospitals",high
Garoy2021-Eritrea-AsmaraHospitals-2017-01,amr_prevalence,resistance patterns and rates by pathogen/antibiotic,"High rates of multidrug resistance were observed among both Gram-positive and Gram-negative isolates from surgical site infections, including 70% MRSA and 100% resistance to ampicillin in E. coli.",A high proportion (91%) of the Gram-negative bacteria were resistant to ampicillin and 100% of the Pseudomonas aeruginosa and Escherichia coli isolates were resistant to >5 of the tested antibiotics.,1,Background,"Asmara, Eritrea; Halibet and Orotta National Referral Hospitals",high
Garoy2021-Eritrea-AsmaraHospitals-2017-01,drivers_amr,"inappropriate use, IPC gaps, diagnostics delays, policy failures","The lack of infection control infrastructure and laboratory-based surveillance, as well as widespread use of cephalosporins for prophylaxis, are key drivers of AMR in Eritrea.","existing infection control practices in the country are largely rudimentary. To illustrate, the country has no infrastructure of trained infection-control professionals and lacks a laboratory-based surveillance and reporting system.",2,Background,"Eritrea, national referral hospitals",high
Garoy2021-Eritrea-AsmaraHospitals-2017-01,drivers_amr,"inappropriate use, IPC gaps, diagnostics delays, policy failures","The lack of infection control infrastructure and laboratory-based surveillance, as well as widespread use of cephalosporins for prophylaxis, are key drivers of AMR in Eritrea.",Another driver of the observed outcome is the extensive institutional use of cephalosporins in preoperative antibiotic prophylaxis (ceftriaxone and ampicillin are used extensively in this setting).,7,Discussion,"Eritrea, national referral hospitals",high
Garoy2021-Eritrea-AsmaraHospitals-2017-01,prevention_control,"IPC programs, bundles, surveillance practices","There is an urgent need for improved infection control policies, guidelines, and surveillance practices in Eritrea to address the high burden of MDR SSI.","Due to the high frequency of MDR isolates reported in this study, the development and implementation of suitable infection control policies and guidelines is imperative.",1,Background,"Eritrea, Halibet and Orotta National Referral Hospitals",high
Garoy2021-Eritrea-AsmaraHospitals-2017-01,prevention_control,"IPC programs, bundles, surveillance practices","There is an urgent need for improved infection control policies, guidelines, and surveillance practices in Eritrea to address the high burden of MDR SSI.","Much work is needed in Eritrea to formulate stricter policies and guidelines on infection control practices (decontamination of surfaces, antimicrobial surveillance, antibiotic stewardship, cohorting and decolonization of patients and healthcare workers, etc.).",9,Conclusion,"Eritrea, Halibet and Orotta National Referral Hospitals",high
Gentilotti2020-Tanzania-Dodoma-2013-2015-1,prevention_control,workforce_training_education,"The intervention's success was partly attributed to a cultural and attitudinal change among staff, driven by formal and on-the-job training in IPC and AMS, which improved compliance with best practices.",A cultural and attitude change is essential to ensure that protocols for Infection Prevention and Control (IPC) and Antimicrobial Stewardship (AMS) are strictly followed,2,Background,"Dodoma Regional Referral Hospital, Tanzania",high
Gentilotti2020-Tanzania-Dodoma-2013-2015-1,prevention_control,workforce_training_education,"The intervention's success was partly attributed to a cultural and attitudinal change among staff, driven by formal and on-the-job training in IPC and AMS, which improved compliance with best practices.",Formal education and on-job training of the health-care personnel were essential components of this intervention.,9,Risk factors for post-CS before and after the intervention,"Dodoma Regional Referral Hospital, Tanzania",high
Gentilotti2020-Tanzania-Dodoma-2013-2015-1,drivers_amr,supply_chain_access,"Improving the supply chain for essential items like antibiotics, disinfectants, and disposables was a key component of the multifaceted intervention, suggesting that stockouts were a barrier to good practice.","strengthening the supply chain for antibiotics, disinfectants and operating room/laboratory disposables",2,Study procedures,"Dodoma Regional Referral Hospital, Tanzania",moderate
Gentilotti2020-Tanzania-Dodoma-2013-2015-1,treatment_prophylaxis,inappropriate_use,"Prior to the intervention, there was routine, prolonged use of post-operative antibiotics (8-10 days) for caesarean sections, which was successfully replaced by appropriate single-dose pre-operative prophylaxis.","before the intervention, almost every woman received an antibiotic course lasting 8–10 days post-CS, irrespective of the presence of risk factors or signs/symptoms of infection.",3,Study procedures,"Dodoma Regional Referral Hospital, Tanzania",high
Gentilotti2020-Tanzania-Dodoma-2013-2015-1,evidence_gaps,surveillance,"The authors state that the lack of detailed national surveillance data on MDRO prevalence is a major gap, highlighting the need for an efficient system to guide targeted public health interventions.",The lack of detailed data on MDROs prevalence all over the country highlights the need for building an efficient surveillance system in order to guide continuous targeted interventions.,9,Changes in the characteristics of the isolates after the intervention,Tanzania,high
Habteweld2023-Ethiopia-DebreBerhan-202210202301-01,burden_incidence,epidemiology of SSI,"SSI incidence was high (61.8%) among surgical patients, with most infections occurring before discharge.","In our study 126 (61.8%) patients have developed SSI, of which 73 (58%) were superficial incisional SSI and the rest were deep incisional SSI.",5,Occurrence of SSI,"Debre Berhan Comprehensive Specialized Hospital, Ethiopia",high
Habteweld2023-Ethiopia-DebreBerhan-202210202301-01,drivers_amr,inappropriate use,"Inappropriate selection, timing, and duration of SAP were common, with 77.9% of patients exposed to inappropriate prophylaxis.","In this study, 159 (77.9%) patients were exposed to inappropriate use of surgical antimicrobial prophylaxis as per different guidelines.",4,Utilization pattern and appropriateness of SAP,"Debre Berhan Comprehensive Specialized Hospital, Ethiopia",high
Habteweld2023-Ethiopia-DebreBerhan-202210202301-01,prevention_control,surveillance practices,Absence of culture and sensitivity testing and lack of antimicrobial stewardship programs were noted as barriers to effective SSI prevention.,The higher rate of SSI in the study area despite the institution of surgical antibiotic prophylaxis calls for the consideration of definitive laboratory diagnosis with culture and sensitivity study to come up with recommended antibiotics usage.,7,Conclusion,"Debre Berhan Comprehensive Specialized Hospital, Ethiopia",moderate
Habteweld2023-Ethiopia-DebreBerhan-202210202301-01,interventions_innovations,other,Recommendation to include clinical pharmacists in surgical ward teams to improve SAP utilization.,Including clinical pharmacists in the surgical ward service team should be also considered to ensure proper surgical antibiotic prophylaxis utilization.,7,Conclusion,"Debre Berhan Comprehensive Specialized Hospital, Ethiopia",moderate
Habteweld2023-Ethiopia-DebreBerhan-202210202301-01,evidence_gaps,explicit gaps and research priorities,No microbiological confirmation of SSI; lack of data on AMR patterns and absence of culture and sensitivity testing.,This means the pathogens responsible for surgical site infections may not have been covered by the prophylactic antibiotics or they may have developed resistance to these agents.,6,Discussion,"Debre Berhan Comprehensive Specialized Hospital, Ethiopia",high
Hamudu2025-Tanzania-BMC_SRHH-2024-01,burden_incidence,incidence,"SSI incidence following limb amputation was 30%, higher than previous local studies.","The overall incidence of surgical site infections following limb amputations was found to be 30% in two referral hospitals in Mwanza, Tanzania.",5,Discussion,"Mwanza, Tanzania; Bugando Medical Centre and Sekou Toure Regional Referral Hospital",high
Hamudu2025-Tanzania-BMC_SRHH-2024-01,amr_prevalence,resistance patterns,"Gram-negative bacteria, especially E. coli, showed high resistance to third and fourth generation cephalosporins.",More than half of the Gram-negative isolates were resistant to third and fourth generations cephalosporins which were commonly used as prophylactic antibiotics in the study settings.,1,Abstract,"Mwanza, Tanzania; Bugando Medical Centre and Sekou Toure Regional Referral Hospital",high
Hamudu2025-Tanzania-BMC_SRHH-2024-01,drivers_amr,inappropriate use,Common use of cephalosporins for prophylaxis may contribute to resistance among Gram-negative pathogens.,More than half of the Gram-negative isolates were resistant to third and fourth generations cephalosporins which were commonly used as prophylactic antibiotics in the study settings.,1,Abstract,"Mwanza, Tanzania; Bugando Medical Centre and Sekou Toure Regional Referral Hospital",moderate
Hamudu2025-Tanzania-BMC_SRHH-2024-01,prevention_control,IPC programs,Study highlights need to improve infection prevention and control programs in hospitals.,This study has demonstrated an increased trend of SSI amongst patients who underwent limb amputation underscoring the need to improve infection prevention and control (IPC) programs in these hospitals.,7,Conclusion and recommendations,"Mwanza, Tanzania; Bugando Medical Centre and Sekou Toure Regional Referral Hospital",high
Hamudu2025-Tanzania-BMC_SRHH-2024-01,interventions_innovations,other,Recommendation to strengthen antimicrobial stewardship and IPC programs to control MDR Gram-negative bacteria.,The observed predominance of multi drug resistant (MDR) Gram negative bacteria causing SSI requires strengthening of antimicrobial stewardship and IPC programs in these hospitals and other hospitals in low- and middle-income countries to control emergence and spread of MDR Enterobacterales which have been classified by WHO as critical priority pathogens.,7,Conclusion and recommendations,"Mwanza, Tanzania; Bugando Medical Centre and Sekou Toure Regional Referral Hospital",high
Hope2019-Uganda-Mbarara-2015-01,amr_prevalence,resistance patterns,High rates of multidrug resistance (MDR) were observed among both Gram-positive and Gram-negative isolates from SSI patients.,Overall 86% of aerobic bacteria isolated were multidrug resistant (MDR) where 65.63% and 96.72% of Gram positive and Gram negative isolates were MDR respectively.,1,Abstract,"Mbarara Regional Referral Hospital, Uganda",high
Hope2019-Uganda-Mbarara-2015-01,drivers_amr,inappropriate use,Irrational use of antibiotics is identified as a major driver of antimicrobial resistance in the study setting.,This has majorly been attributed to increasing emergence of antimicrobial resistance due to irrational use of antibiotics.,1,Introduction,"Mbarara Regional Referral Hospital, Uganda",moderate
Hope2019-Uganda-Mbarara-2015-01,prevention_control,IPC programs,Strict adherence to good sanitation practice and periodic surveillance of SSIs are recommended to reduce spread of drug-resistant pathogens.,These findings necessitate judicious antibiotic use and calls for surveillance of SSIs periodically as well as strict adherence to good sanitation practice to reduce spread of drug-resistant pathogens.,1,Abstract,"Mbarara Regional Referral Hospital, Uganda",moderate
