events_x,ast_method,resistance_gene_markers,country,n_esbl_positive,esbl_test,n_carbapenemase_positive,theme,breakpoint_standard,antibiotic,year_start,ssi_type,facility_level,year_end,mic_breakpoint_s,denominator_type,who_class,breakpoint_version,mic_breakpoint_r,readmission_window_days,outcome,n_mdr,specimen_type,ascertainment_window_days,surgical_specialty,mrsa_detection_method,reoperation_definition_text,sample_size_n,setting,n_xdr,carbapenemase_test,mic_unit,carbapenemase_genes,zone_diameter_unit,study_id,mdr_definition_text,pathogen
5,,,Kenya,,,,burden_incidence,,,2008.0,overall,tertiary,2009.0,,procedures,,,,,ssi_incidence,,,30.0,general,,,91,hospital,,,,,,Dinda2013-Kenya-AKUHNairobi-20082009-1,,
7,,,Kenya,,,,burden_incidence,,,2008.0,overall,tertiary,2009.0,,procedures,,,,,ssi_incidence,,,30.0,general,,,80,hospital,,,,,,Dinda2013-Kenya-AKUHNairobi-20082009-1,,
6,,,Kenya,,,,burden_incidence,,,2008.0,overall,tertiary,2009.0,,procedures,,,,,ssi_incidence,,,30.0,general,,,30,hospital,,,,,,Dinda2013-Kenya-AKUHNairobi-20082009-1,,
20,,,Kenya,,,,burden_incidence,,,2008.0,overall,tertiary,2009.0,,procedures,,,,,ssi_incidence,,,30.0,general,,,67,hospital,,,,,,Dinda2013-Kenya-AKUHNairobi-20082009-1,,
225,,,Tanzania,,,,burden_incidence,,,2013.0,overall,tertiary,2013.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,467,hospital,,,,,,Gentilotti2020-Tanzania-Dodoma-2013-2015-1,,
95,,,Tanzania,,,,burden_incidence,,,2015.0,overall,tertiary,2015.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,573,hospital,,,,,,Gentilotti2020-Tanzania-Dodoma-2013-2015-1,,
138,,,Tanzania,,,,burden_incidence,,,2013.0,superficial,tertiary,2013.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,225,hospital,,,,,,Gentilotti2020-Tanzania-Dodoma-2013-2015-1,,
74,,,Tanzania,,,,burden_incidence,,,2013.0,deep,tertiary,2013.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,225,hospital,,,,,,Gentilotti2020-Tanzania-Dodoma-2013-2015-1,,
80,,,Tanzania,,,,burden_incidence,,,2015.0,superficial,tertiary,2015.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,95,hospital,,,,,,Gentilotti2020-Tanzania-Dodoma-2013-2015-1,,
11,,,Tanzania,,,,burden_incidence,,,2015.0,deep,tertiary,2015.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,95,hospital,,,,,,Gentilotti2020-Tanzania-Dodoma-2013-2015-1,,
126,,,Ethiopia,,,,burden_incidence,,,2022.0,overall,tertiary,2023.0,,patients,,,,,ssi_incidence,,,30.0,general,,,204,hospital,,,,,,Habteweld2023-Ethiopia-DebreBerhan-202210202301-01,,
73,,,Ethiopia,,,,burden_incidence,,,2022.0,superficial,tertiary,2023.0,,patients,,,,,ssi_incidence,,,30.0,general,,,126,hospital,,,,,,Habteweld2023-Ethiopia-DebreBerhan-202210202301-01,,
53,,,Ethiopia,,,,burden_incidence,,,2022.0,deep,tertiary,2023.0,,patients,,,,,ssi_incidence,,,30.0,general,,,126,hospital,,,,,,Habteweld2023-Ethiopia-DebreBerhan-202210202301-01,,
36,,,Tanzania,,,,burden_incidence,,,2024.0,overall,tertiary,2024.0,,patients,,,,,ssi_incidence,,,30.0,orthopedics,,,120,hospital,,,,,,Hamudu2025-Tanzania-BMC_SRHH-2024-01,,
23,,,Tanzania,,,,burden_incidence,,,2024.0,overall,tertiary,2024.0,,patients,,,,,ssi_incidence,,,30.0,orthopedics,,,90,hospital,,,,,,Hamudu2025-Tanzania-BMC_SRHH-2024-01,,
13,,,Tanzania,,,,burden_incidence,,,2024.0,overall,tertiary,2024.0,,patients,,,,,ssi_incidence,,,30.0,orthopedics,,,30,hospital,,,,,,Hamudu2025-Tanzania-BMC_SRHH-2024-01,,
28,,,Tanzania,,,,burden_incidence,,,2024.0,superficial,tertiary,2024.0,,patients,,,,,ssi_incidence,,,30.0,orthopedics,,,36,hospital,,,,,,Hamudu2025-Tanzania-BMC_SRHH-2024-01,,
8,,,Tanzania,,,,burden_incidence,,,2024.0,deep,tertiary,2024.0,,patients,,,,,ssi_incidence,,,30.0,orthopedics,,,36,hospital,,,,,,Hamudu2025-Tanzania-BMC_SRHH-2024-01,,
20,,,Malawi,,,,burden_incidence,,,2023.0,overall,tertiary,2023.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,208,hospital,,,,,,Kachipedzu2024-Malawi-QECH-2023-1,,
19,,,Malawi,,,,burden_incidence,,,2023.0,superficial,tertiary,2023.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,208,hospital,,,,,,Kachipedzu2024-Malawi-QECH-2023-1,,
1,,,Malawi,,,,burden_incidence,,,2023.0,deep,tertiary,2023.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,208,hospital,,,,,,Kachipedzu2024-Malawi-QECH-2023-1,,
55,,,Ethiopia,,,,burden_incidence,,,2019.0,overall,tertiary,2020.0,,patients,,,,,ssi_incidence,,,30.0,general,,,281,hospital,,,,,,Kefale2020-Ethiopia-FinoteSelam-2019-2020-1,,
41,,,Ethiopia,,,,burden_incidence,,,2019.0,superficial,tertiary,2020.0,,patients,,,,,ssi_incidence,,,30.0,general,,,281,hospital,,,,,,Kefale2020-Ethiopia-FinoteSelam-2019-2020-1,,
8,,,Ethiopia,,,,burden_incidence,,,2019.0,deep,tertiary,2020.0,,patients,,,,,ssi_incidence,,,30.0,general,,,281,hospital,,,,,,Kefale2020-Ethiopia-FinoteSelam-2019-2020-1,,
8,,,Ethiopia,,,,burden_incidence,,,2019.0,organ_space,tertiary,2020.0,,patients,,,,,ssi_incidence,,,30.0,general,,,281,hospital,,,,,,Kefale2020-Ethiopia-FinoteSelam-2019-2020-1,,
169,,,Cameroon,,,,burden_incidence,,,2010.0,overall,mixed,2011.0,,patients,,,,,ssi_incidence,,,,general,,,212,hospital,,,,,,Akoachere2014-Cameroon-Buea-201010201103-01,,
3,,,Cameroon,,,,burden_incidence,,,2010.0,overall,mixed,2011.0,,patients,,,,,ssi_incidence,,,,general,,,3,hospital,,,,,,Akoachere2014-Cameroon-Buea-201010201103-01,,
13,,,Cameroon,,,,burden_incidence,,,2010.0,overall,mixed,2011.0,,patients,,,,,ssi_incidence,,,,general,,,15,hospital,,,,,,Akoachere2014-Cameroon-Buea-201010201103-01,,
23,,,Cameroon,,,,burden_incidence,,,2010.0,overall,mixed,2011.0,,patients,,,,,ssi_incidence,,,,general,,,29,hospital,,,,,,Akoachere2014-Cameroon-Buea-201010201103-01,,
130,,,Cameroon,,,,burden_incidence,,,2010.0,overall,mixed,2011.0,,patients,,,,,ssi_incidence,,,,general,,,165,hospital,,,,,,Akoachere2014-Cameroon-Buea-201010201103-01,,
96,,,Ethiopia,,,,burden_incidence,,,2012.0,overall,tertiary,2012.0,,patients,,,,,ssi_incidence,,,30.0,general,,,128,hospital,,,,,,Mengesha2014-Ethiopia-Ayder-2012-1,,
53,,,Ethiopia,,,,burden_incidence,,,2019.0,overall,tertiary,2019.0,,patients,,,,,ssi_incidence,,,30.0,general,,,251,hospital,,,,,,Misha2021-Ethiopia-JimmaMedicalCenter-2019-01,,
34,,,Rwanda,,,,burden_incidence,,,2017.0,superficial,tertiary,2018.0,,patients,,,,,ssi_incidence,,,30.0,general,,,294,hospital,,,,,,Mukagendaneza2019-Rwanda-KigaliCHUK-2017_2018-01,,
26,,,Rwanda,,,,burden_incidence,,,2017.0,superficial,tertiary,2018.0,,patients,,,,,ssi_incidence,,,30.0,orthopedics,,,217,hospital,,,,,,Mukagendaneza2019-Rwanda-KigaliCHUK-2017_2018-01,,
8,,,Rwanda,,,,burden_incidence,,,2017.0,superficial,tertiary,2018.0,,patients,,,,,ssi_incidence,,,30.0,general,,,66,hospital,,,,,,Mukagendaneza2019-Rwanda-KigaliCHUK-2017_2018-01,,
0,,,Rwanda,,,,burden_incidence,,,2017.0,superficial,tertiary,2018.0,,patients,,,,,ssi_incidence,,,30.0,urology,,,11,hospital,,,,,,Mukagendaneza2019-Rwanda-KigaliCHUK-2017_2018-01,,
225,,,Tanzania,,,,burden_incidence,,,2013.0,overall,tertiary,2013.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,467,hospital,,,,,,DeNardo2016-Tanzania-Dodoma-2013-1,,
138,,,Tanzania,,,,burden_incidence,,,2013.0,superficial,tertiary,2013.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,467,hospital,,,,,,DeNardo2016-Tanzania-Dodoma-2013-1,,
69,,,Tanzania,,,,burden_incidence,,,2013.0,deep,tertiary,2013.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,467,hospital,,,,,,DeNardo2016-Tanzania-Dodoma-2013-1,,
5,,,Tanzania,,,,burden_incidence,,,2013.0,organ_space,tertiary,2013.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,467,hospital,,,,,,DeNardo2016-Tanzania-Dodoma-2013-1,,
8,,,Rwanda,,,,burden_incidence,,,2015.0,overall,secondary,2016.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,147,hospital,,,,,,Ntirushwa2021-Rwanda-RuhengeriHospital-2015-2016-01,,
4,,,Rwanda,,,,burden_incidence,,,2015.0,overall,secondary,2016.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,154,hospital,,,,,,Ntirushwa2021-Rwanda-RuhengeriHospital-2015-2016-01,,
12,,,Rwanda,,,,burden_incidence,,,2015.0,overall,secondary,2016.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,301,hospital,,,,,,Ntirushwa2021-Rwanda-RuhengeriHospital-2015-2016-01,,
20,,,Gabon,,,,burden_incidence,,,2009.0,overall,tertiary,2009.0,,patients,,,,,ssi_incidence,,,,general,,,2925,hospital,,,,,,Scherbaum2014-Gabon-Lambarene-2009-01,,
20,,,Gabon,,,,burden_incidence,,,2009.0,overall,tertiary,2009.0,,procedures,,,,,ssi_incidence,,,,general,,,1059,hospital,,,,,,Scherbaum2014-Gabon-Lambarene-2009-01,,
3,,,Gabon,,,,burden_incidence,,,2009.0,overall,tertiary,2009.0,,procedures,,,,,ssi_incidence,,,,obstetrics/gynecology,,,26,hospital,,,,,,Scherbaum2014-Gabon-Lambarene-2009-01,,
5,,,Gabon,,,,burden_incidence,,,2009.0,overall,tertiary,2009.0,,procedures,,,,,ssi_incidence,,,,obstetrics/gynecology,,,80,hospital,,,,,,Scherbaum2014-Gabon-Lambarene-2009-01,,
45,,,Rwanda,,,,burden_incidence,,,2019.0,overall,secondary,2020.0,,patients,,,,,ssi_incidence,,,11.0,obstetrics/gynecology,,,795,hospital,,,,,,Velin2021-Rwanda-KireheDistrictHospital-2019_2020-01,,
109,,,Uganda,,,,burden_incidence,,,2017.0,overall,tertiary,2018.0,,patients,,,,,ssi_incidence,,,30.0,obstetrics/gynecology,,,109,hospital,,,,,,Wekesa2020-Uganda-MulagoHospital-201711201804-01,,
752,,,Ethiopia,,,,burden_incidence,,,2020.0,overall,tertiary,2021.0,,patients,,,,,ssi_incidence,,,30.0,general,,,752,hospital,,,,,,Worku2023-Ethiopia-Multicentre-2020-2021-1,,
493,,,Ethiopia,,,,burden_incidence,,,2020.0,,tertiary,2021.0,,patients,,,,,ssi_incidence,,,30.0,general,,,752,hospital,,,,,,Worku2023-Ethiopia-Multicentre-2020-2021-1,,
12,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ampicillin,2021.0,,tertiary,2021.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,12.0,wound_swab,,,,,12,hospital,,,,,mm,Abayneh2022-Ethiopia-MizanTepi-2021-01,Resistance to three or more classes of antibiotics.,Escherichia coli
7,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ampicillin,2021.0,,tertiary,2021.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,8.0,wound_swab,,,cefoxitin disk,,8,hospital,,,,,mm,Abayneh2022-Ethiopia-MizanTepi-2021-01,Resistance to three or more classes of antibiotics.,Staphylococcus aureus
11,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,amoxicillin-clavulanate,2021.0,,tertiary,2021.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,12.0,wound_swab,,,,,12,hospital,,,,,mm,Abayneh2022-Ethiopia-MizanTepi-2021-01,Resistance to three or more classes of antibiotics.,Escherichia coli
3,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,cefoxitin,2021.0,,tertiary,2021.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,8.0,wound_swab,,,cefoxitin disk,,8,hospital,,,,,mm,Abayneh2022-Ethiopia-MizanTepi-2021-01,Resistance to three or more classes of antibiotics.,Staphylococcus aureus
27,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,amoxicillin,2019.0,,tertiary,2019.0,,isolates,important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,31,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Staphylococcus aureus
22,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ampicillin,2019.0,,tertiary,2019.0,,isolates,important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,31,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Staphylococcus aureus
3,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,vancomycin,2019.0,,tertiary,2019.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,31,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Staphylococcus aureus
5,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ciprofloxacin,2019.0,,tertiary,2019.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,31,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Staphylococcus aureus
22,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ampicillin,2019.0,,tertiary,2019.0,,isolates,important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,26,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Pseudomonas aeruginosa
5,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ciprofloxacin,2019.0,,tertiary,2019.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,26,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Pseudomonas aeruginosa
6,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,meropenem,2019.0,,tertiary,2019.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,26,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Pseudomonas aeruginosa
14,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ampicillin,2019.0,,tertiary,2019.0,,isolates,important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,17,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Klebsiella spp.
2,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,meropenem,2019.0,,tertiary,2019.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,17,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Klebsiella spp.
2,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,gentamicin,2019.0,,tertiary,2019.0,,isolates,critically_important,CLSI 2018,,,amr_prevalence,,wound_swab,,,,,17,hospital,,,,,mm,Abosse2021-Ethiopia-FelegeHiwot-2019-01,MDR was defined as the ability of an isolate to resist >3 antimicrobial agents in different class.,Klebsiella spp.
14,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,penicillin,2016.0,,tertiary,2016.0,,isolates,important,CLSI M100-S24,,,amr_prevalence,9.0,wound_swab,,,Cefoxitin (30 μg) disk diffusion; zone diameter ≤21 mm considered resistant,,14,hospital,,,,,mm,Ali2023-Ethiopia-DessieHospital-2016-01,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,Staphylococcus aureus
6,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,cefoxitin,2016.0,,tertiary,2016.0,,isolates,important,CLSI M100-S24,,,amr_prevalence,9.0,wound_swab,,,Cefoxitin (30 μg) disk diffusion; zone diameter ≤21 mm considered resistant,,14,hospital,,,,,mm,Ali2023-Ethiopia-DessieHospital-2016-01,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,Staphylococcus aureus
8,disk_diffusion,,Ethiopia,6.0,Double disc approximation method,,amr_prevalence,CLSI,ampicillin,2016.0,,tertiary,2016.0,,isolates,important,CLSI M100-S24,,,amr_prevalence,8.0,wound_swab,,,,,9,hospital,,,,,mm,Ali2023-Ethiopia-DessieHospital-2016-01,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,Escherichia coli
7,disk_diffusion,,Ethiopia,2.0,Double disc approximation method,,amr_prevalence,CLSI,ampicillin,2016.0,,tertiary,2016.0,,isolates,important,CLSI M100-S24,,,amr_prevalence,7.0,wound_swab,,,,,7,hospital,,,,,mm,Ali2023-Ethiopia-DessieHospital-2016-01,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,Klebsiella pneumoniae
21,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ampicillin,2016.0,,tertiary,2016.0,,isolates,important,CLSI M100-S24,,,amr_prevalence,,wound_swab,,,,,23,hospital,,,,,mm,Ali2023-Ethiopia-DessieHospital-2016-01,ECDC: non-susceptible to at least one agent in three or more antimicrobial categories.,Enterobacteriaceae
2,disk_diffusion,,Kenya,,,,amr_prevalence,CLSI,vancomycin,2018.0,,tertiary,2019.0,,isolates,important,CLSI 2016,,,amr_prevalence,,wound_swab,,,Oxacillin disk diffusion,,22,hospital,,,,,mm,Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,,Staphylococcus aureus
3,disk_diffusion,,Kenya,,,,amr_prevalence,CLSI,ciprofloxacin,2018.0,,tertiary,2019.0,,isolates,critically_important,CLSI 2016,,,amr_prevalence,,wound_swab,,,Oxacillin disk diffusion,,22,hospital,,,,,mm,Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,,Staphylococcus aureus
1,disk_diffusion,,Kenya,,,,amr_prevalence,CLSI,chloramphenicol,2018.0,,tertiary,2019.0,,isolates,highly_important,CLSI 2016,,,amr_prevalence,,wound_swab,,,Oxacillin disk diffusion,,22,hospital,,,,,mm,Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,,Staphylococcus aureus
21,disk_diffusion,,Kenya,,,,amr_prevalence,CLSI,ampicillin,2018.0,,tertiary,2019.0,,isolates,highly_important,CLSI 2016,,,amr_prevalence,,wound_swab,,,Oxacillin disk diffusion,,22,hospital,,,,,mm,Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,,Staphylococcus aureus
13,disk_diffusion,,Kenya,,,,amr_prevalence,CLSI,oxacillin,2018.0,,tertiary,2019.0,,isolates,highly_important,CLSI 2016,,,amr_prevalence,,wound_swab,,,Oxacillin disk diffusion,,22,hospital,,,,,mm,Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,,Staphylococcus aureus
7,disk_diffusion,,Kenya,,,,amr_prevalence,CLSI,chloramphenicol,2018.0,,tertiary,2019.0,,isolates,highly_important,CLSI 2016,,,amr_prevalence,,wound_swab,,,,,12,hospital,,,,,mm,Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,Multi-drug resistance (resistance to ≥ 4 antibiotics) observed with E. coli.,Escherichia coli
11,disk_diffusion,,Kenya,,,,amr_prevalence,CLSI,ampicillin,2018.0,,tertiary,2019.0,,isolates,highly_important,CLSI 2016,,,amr_prevalence,,wound_swab,,,,,12,hospital,,,,,mm,Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,Multi-drug resistance (resistance to ≥ 4 antibiotics) observed with E. coli.,Escherichia coli
6,disk_diffusion,,Kenya,,,,amr_prevalence,CLSI,amikacin,2018.0,,tertiary,2019.0,,isolates,critically_important,CLSI 2016,,,amr_prevalence,,wound_swab,,,,,11,hospital,,,,,mm,Amulioto2020-Kenya-MamaLucyKibaki-2018-2019-1,,Acinetobacter baumannii
1,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ceftriaxone,2017.0,,tertiary,2017.0,,isolates,critically_important,,,,amr_prevalence,,wound_swab,,,,,9,hospital,,,,,mm,Billoro2019-Ethiopia-WUNEMMH-2017-01,,Klebsiella pneumoniae
1,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ciprofloxacin,2017.0,,tertiary,2017.0,,isolates,critically_important,,,,amr_prevalence,,wound_swab,,,,,9,hospital,,,,,mm,Billoro2019-Ethiopia-WUNEMMH-2017-01,,Klebsiella pneumoniae
3,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,gentamicin,2017.0,,tertiary,2017.0,,isolates,critically_important,,,,amr_prevalence,,wound_swab,,,,,9,hospital,,,,,mm,Billoro2019-Ethiopia-WUNEMMH-2017-01,,Klebsiella pneumoniae
2,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,chloramphenicol,2017.0,,tertiary,2017.0,,isolates,highly_important,,,,amr_prevalence,,wound_swab,,,,,6,hospital,,,,,mm,Billoro2019-Ethiopia-WUNEMMH-2017-01,,Klebsiella pneumoniae
0,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ceftriaxone,2017.0,,tertiary,2017.0,,isolates,critically_important,,,,amr_prevalence,,wound_swab,,,,,3,hospital,,,,,mm,Billoro2019-Ethiopia-WUNEMMH-2017-01,,Staphylococcus aureus
1,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ciprofloxacin,2017.0,,tertiary,2017.0,,isolates,critically_important,,,,amr_prevalence,,wound_swab,,,,,4,hospital,,,,,mm,Billoro2019-Ethiopia-WUNEMMH-2017-01,,Staphylococcus aureus
1,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,chloramphenicol,2023.0,,tertiary,2023.0,,isolates,highly_important,,,,amr_prevalence,8.0,wound_swab,,,Cefoxitin disk diffusion,,14,hospital,,,,,mm,Boru2025-Ethiopia-BuleHora-2023-01,Resistance to ≥3 classes of antimicrobials,Staphylococcus aureus
8,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,cefoxitin,2023.0,,tertiary,2023.0,,isolates,critically_important,,,,amr_prevalence,8.0,wound_swab,,,Cefoxitin disk diffusion,,14,hospital,,,,,mm,Boru2025-Ethiopia-BuleHora-2023-01,Resistance to ≥3 classes of antimicrobials,Staphylococcus aureus
8,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,penicillin,2023.0,,tertiary,2023.0,,isolates,critically_important,,,,amr_prevalence,8.0,wound_swab,,,Cefoxitin disk diffusion,,14,hospital,,,,,mm,Boru2025-Ethiopia-BuleHora-2023-01,Resistance to ≥3 classes of antimicrobials,Staphylococcus aureus
5,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ampicillin,2023.0,,tertiary,2023.0,,isolates,critically_important,,,,amr_prevalence,3.0,wound_swab,,,,,6,hospital,,,,,mm,Boru2025-Ethiopia-BuleHora-2023-01,Resistance to ≥3 classes of antimicrobials,Escherichia coli
5,disk_diffusion,,Ethiopia,,,,amr_prevalence,CLSI,ceftazidime,2023.0,,tertiary,2023.0,,isolates,critically_important,,,,amr_prevalence,3.0,wound_swab,,,,,6,hospital,,,,,mm,Boru2025-Ethiopia-BuleHora-2023-01,Resistance to ≥3 classes of antimicrobials,Escherichia coli
